,Unnamed: 0,asset,strike_pct,duration,util,mood,train_start_date,train_end_date,date_start,date_end,strike,years,max_drawdown_percentiles,cagr_percentiles,sharpe_percentiles,asset_label,kelly_params,engine,0_percentile_max_drawdown,25_percentile_max_drawdown,50_percentile_max_drawdown,75_percentile_max_drawdown,100_percentile_max_drawdown,0_percentile_cagr,25_percentile_cagr,50_percentile_cagr,75_percentile_cagr,100_percentile_cagr
20,20,Bitcoin,-20.0,1,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.8,2.73972602739726,[0.         0.11818841 0.15677968 0.233033   0.53440971],[-0.22696096 -0.03204385  0.02114928  0.07097986  0.16334507],[-0.05918251 -0.00925521  0.01338595  0.04705957         nan],Bitcoin_S=-20.0_D=1_M=Full History,[1.69259535e-04 6.53707290e-03 1.00000000e+02 7.45410833e-04],kelly,0.0,0.11818840711050926,0.15677967794699338,0.23303299582490422,0.5344097060571783,-0.2269609643435101,-0.03204385205296553,0.02114928419146289,0.07097986002710427,0.16334506623693645
21,21,Bitcoin,-20.0,7,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.8,2.73972602739726,[0.         0.1256964  0.18486095 0.26214799 0.56536482],[-0.22607641 -0.0462495   0.00847394  0.06237723  0.1711987 ],[-0.05895897 -0.01360536  0.00719637  0.03799421  0.40685184],Bitcoin_S=-20.0_D=7_M=Full History,[1.31031420e-03 4.35253888e-01 9.92911250e+01 5.45207476e-03],kelly,0.0,0.12569640412951905,0.18486094732091873,0.2621479942179829,0.5653648157532959,-0.22607641499867803,-0.04624950154656751,0.008473940496774413,0.06237723261119976,0.17119870444668073
22,22,Bitcoin,-20.0,14,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.8,2.73972602739726,[0.         0.14818426 0.20411659 0.28768077 0.62580624],[-0.26646402 -0.03908839  0.02251765  0.07814061  0.21278736],[-0.05248503 -0.00839723  0.01277583  0.04142604  0.27646344],Bitcoin_S=-20.0_D=14_M=Full History,[0.00306465 0.83044742 0.70391969 0.01320852],kelly,0.0,0.14818425720844142,0.20411658612318684,0.2876807678990928,0.6258062405923591,-0.2664640226122268,-0.03908839132037206,0.022517651610556633,0.07814061457763383,0.2127873623565697
23,23,Bitcoin,-20.0,30,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.8,2.73972602739726,[0.         0.10466277 0.19362291 0.2702988  0.61044434],[-0.27607414 -0.03988576  0.02600217  0.09338816  0.19059083],[-0.05719461 -0.00878377  0.01394565  0.05802707  0.18473574],Bitcoin_S=-20.0_D=30_M=Full History,[0.00667783 0.92970955 0.78525313 0.02534044],kelly,0.0,0.10466277227973793,0.19362291473685161,0.270298800676921,0.6104443403524791,-0.2760741447199463,-0.03988576267695049,0.026002174734000794,0.0933881562319297,0.19059082902573787
24,24,Bitcoin,-10.0,1,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[0.04954055 0.19090967 0.26773966 0.35897471 0.68479011],[-0.31860138 -0.04863606  0.02609141  0.10425973  0.29796203],[-0.05939215 -0.00744878  0.01270723  0.03873681  0.25240515],Bitcoin_S=-10.0_D=1_M=Full History,[4.36354004e-04 5.04872300e-01 9.96088818e+01 1.75012650e-03],kelly,0.049540549625683494,0.19090967290752778,0.267739655856232,0.35897471302350725,0.6847901100321411,-0.3186013844671969,-0.04863605505871907,0.026091411356676142,0.10425973350862561,0.2979620301185182
25,25,Bitcoin,-10.0,7,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[0.04695447 0.20843785 0.28396909 0.37415756 0.75766944],[-0.39282109 -0.06307666  0.02494876  0.10562874  0.38738309],[-0.07321651 -0.00918076  0.01219455  0.03780134  0.23616205],Bitcoin_S=-10.0_D=7_M=Full History,[0.00295451 0.78371803 0.68599873 0.01525376],kelly,0.046954468486899055,0.208437852628686,0.2839690869146392,0.374157563237052,0.7576694354826389,-0.39282109183733516,-0.0630766605583851,0.024948759526756903,0.10562874313238801,0.38738309414085514
26,26,Bitcoin,-10.0,14,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[0.0419463  0.21062455 0.28394475 0.38218452 0.71695516],[-0.34196886 -0.05550173  0.03101253  0.10886552  0.43972105],[-0.06518284 -0.00723086  0.01398102  0.03615847  0.22357285],Bitcoin_S=-10.0_D=14_M=Full History,[0.00636077 0.79148612 0.6859559  0.02971991],kelly,0.04194630334953904,0.21062455012662998,0.28394474899864963,0.38218451966334194,0.716955161849475,-0.34196885652390974,-0.05550172975898529,0.031012527879017426,0.10886552066272392,0.43972104902025544
27,27,Bitcoin,-10.0,30,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[0.         0.16114944 0.23644511 0.33728601 0.757179  ],[-0.36931496 -0.0406038   0.03104756  0.11311309  0.339363  ],[-0.07248601 -0.00506822  0.01441765  0.04440253  0.18219467],Bitcoin_S=-10.0_D=30_M=Full History,[0.01070053 0.85089735 0.75002555 0.04450806],kelly,0.0,0.16114944134168557,0.23644510935209437,0.3372860090874942,0.7571790004226684,-0.3693149617580468,-0.04060379600500735,0.031047563092265418,0.11311308816186194,0.33936299635666245
28,28,Bitcoin,0.0,1,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.0,2.73972602739726,[0.14446327 0.33669198 0.42295469 0.52343551 0.80532704],[-0.38057678 -0.07303581  0.05821639  0.19623614  0.85529072],[-0.05199849 -0.00245474  0.01821181  0.04035212  0.15755374],Bitcoin_S=0.0_D=1_M=Full History,[1.28486704e-03 3.95200019e-01 9.92828021e+01 1.43058946e-02],kelly,0.144463272749136,0.3366919770309358,0.4229546861010816,0.5234355128198279,0.8053270352924201,-0.38057678437905473,-0.0730358060368651,0.058216391861231065,0.19623614200882072,0.8552907165129406
29,29,Bitcoin,0.0,7,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.0,2.73972602739726,[0.12403482 0.27793812 0.3655064  0.4602713  0.78816902],[-0.39471794 -0.05830289  0.05516789  0.17464031  0.53689356],[-0.06231454 -0.00323481  0.01805249  0.0404928   0.11372918],Bitcoin_S=0.0_D=7_M=Full History,[0.00572784 0.69464156 0.69891956 0.04236342],kelly,0.12403482401159459,0.2779381158589147,0.36550639918377015,0.460271301219549,0.7881690240441606,-0.39471794201653265,-0.05830288721124119,0.05516789155446322,0.17464031352340809,0.5368935584935104
