,Unnamed: 0,asset,strike_pct,duration,util,mood,option_type,train_start_date,train_end_date,date_start,date_end,strike,years,max_drawdown_percentiles,cagr_percentiles,sharpe_percentiles,asset_label,kelly_params,engine,0_percentile_max_drawdown,25_percentile_max_drawdown,50_percentile_max_drawdown,75_percentile_max_drawdown,100_percentile_max_drawdown,0_percentile_cagr,25_percentile_cagr,50_percentile_cagr,75_percentile_cagr,100_percentile_cagr
20,20,Bitcoin,-10.0,7,0.5,Full History,put,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[0.08980486 0.22866295 0.30188631 0.39155979 0.73381109],[-0.36040198 -0.05067568  0.04620654  0.13095044  0.42264709],[-0.06641973 -0.0047688   0.01714603  0.03998661  0.174998  ],Bitcoin_put_S=-10.0_D=7_M=Full History,[0.00366886 0.83492838 0.72537263 0.01808374],kelly,0.08980486238343892,0.22866295140726078,0.30188630987852416,0.39155978769505284,0.7338110919165196,-0.36040198224315634,-0.05067568470709882,0.04620654015810166,0.13095044304382658,0.4226470899254686
21,21,Bitcoin,-10.0,7,0.5,Full History,call,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[0.20059811 0.42188595 0.54983272 0.67404979 0.94118202],[-0.57525488  0.04577915  0.32525055  0.65722802  2.3138083 ],[-0.05752802  0.02145101  0.04290372  0.06719203  0.16323404],Bitcoin_call_S=-10.0_D=7_M=Full History,[ 0.0314315   1.80098909 14.68771103  0.15958989],kelly,0.20059811337289368,0.42188595149351327,0.5498327209736991,0.6740497882662899,0.9411820243135346,-0.5752548791170163,0.045779146682870475,0.32525054965858347,0.657228022311573,2.313808302219173
22,22,Bitcoin,-10.0,14,0.5,Full History,put,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[0.01994632 0.18381695 0.24914565 0.34296662 0.74212909],[-0.37725529 -0.05761889  0.03656017  0.10612999  0.34847143],[-0.06763316 -0.00833838  0.01589484  0.04238044  0.22846917],Bitcoin_put_S=-10.0_D=14_M=Full History,[0.00498033 0.78642828 0.70316496 0.02538647],kelly,0.01994631527364834,0.18381694510443397,0.24914564936558514,0.3429666177614338,0.7421290944731619,-0.3772552920020823,-0.05761889047997737,0.03656016612938451,0.1061299863653295,0.3484714295435809
23,23,Bitcoin,-10.0,14,0.5,Full History,call,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[0.12264963 0.43679278 0.58023958 0.77312083 1.7704783 ],[nan nan nan nan nan],[-0.03555     0.03026389  0.05726508  0.08538108  0.18795201],Bitcoin_call_S=-10.0_D=14_M=Full History,[9.84744158e-02 1.53908006e+00 1.00000000e+02 2.09083604e-01],kelly,0.1226496324902917,0.43679277727222293,0.5802395833871021,0.7731208329100505,1.7704782973477309,,,,,
24,24,Bitcoin,0.0,1,0.5,Full History,put,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.0,2.73972602739726,[0.15072418 0.32968273 0.41375503 0.51121417 0.87282719],[-0.48650545 -0.04793424  0.07904416  0.21455967  0.80432041],[-0.06960081  0.00113535  0.02139921  0.04264888  0.13758581],Bitcoin_put_S=0.0_D=1_M=Full History,[1.28620181e-03 3.90788525e-01 9.92920936e+01 1.43051924e-02],kelly,0.1507241832350775,0.32968272926218534,0.4137550308352854,0.5112141716039083,0.872827194851997,-0.4865054453187795,-0.047934243041150265,0.0790441622813407,0.21455966724172304,0.8043204141368221
25,25,Bitcoin,0.0,1,0.5,Full History,call,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.0,2.73972602739726,[0.189778   0.37652984 0.48770372 0.63376294 0.89481055],[-0.50485751 -0.08741227  0.12093293  0.34396458  1.14701416],[-0.05410853  0.00145252  0.02706582  0.05410085  0.14789908],Bitcoin_call_S=0.0_D=1_M=Full History,[0.00185191 1.04229978 1.28165667 0.01850264],kelly,0.18977799900121928,0.3765298398958755,0.48770372163884956,0.6337629354821597,0.8948105464478363,-0.5048575137873366,-0.08741227140691796,0.12093293090390345,0.3439645796713975,1.1470141566133343
26,26,Bitcoin,0.0,7,0.5,Full History,put,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.0,2.73972602739726,[0.11238819 0.29065204 0.36370699 0.46354028 0.77519119],[-0.41077291 -0.0620169   0.04083963  0.15856302  0.60031526],[-0.07733748 -0.00366553  0.015382    0.03834454  0.12167873],Bitcoin_put_S=0.0_D=7_M=Full History,[0.00559293 0.71033722 0.73429328 0.04103099],kelly,0.1123881852802824,0.2906520360881002,0.36370699217288754,0.4635402766994413,0.7751911877769099,-0.4107729056042957,-0.06201690045780622,0.04083962769361682,0.15856302278239182,0.6003152624772616
27,27,Bitcoin,0.0,7,0.5,Full History,call,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.0,2.73972602739726,[0.13858403 0.32393463 0.45675385 0.61439674 0.90569583],[-0.40054031  0.35374189  0.67591542  1.08231277  2.70211545],[-0.01922609  0.04906949  0.07460045  0.10905956  0.23006041],Bitcoin_call_S=0.0_D=7_M=Full History,[5.02369072e-02 2.32308939e+00 5.04941918e+01 7.50693944e-02],kelly,0.1385840323442481,0.323934633998754,0.4567538531132622,0.6143967358845057,0.9056958340956544,-0.40054031451945826,0.35374188843270715,0.6759154201019103,1.0823127682915201,2.7021154533486698
28,28,Bitcoin,0.0,14,0.5,Full History,put,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.0,2.73972602739726,[0.06173239 0.2547801  0.33026136 0.43930341 0.74806607],[-0.37567553 -0.07241494  0.03175801  0.14502634  0.61701884],[-0.06166402 -0.00766362  0.01352192  0.03838123  0.18881504],Bitcoin_put_S=0.0_D=14_M=Full History,[0.00927013 0.72946863 0.70306196 0.05226755],kelly,0.061732386901046106,0.2547800957773615,0.3302613590873434,0.43930340677285673,0.7480660727541236,-0.37567552784682945,-0.07241494325337414,0.03175800968325504,0.14502633777293483,0.61701884093292
29,29,Bitcoin,0.0,14,0.5,Full History,call,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.0,2.73972602739726,[0.08620973 0.33256774 0.44058277 0.5895105  0.9457339 ],[-0.59464314  0.1117195   0.37141657  0.63979659  1.86485062],[-0.03518861  0.02604301  0.05152209  0.07929993  0.17432638],Bitcoin_call_S=0.0_D=14_M=Full History,[6.39706351e-02 6.37621300e-05 1.00000000e+02 1.14999715e-01],kelly,0.08620973136871729,0.332567737055332,0.44058276752103687,0.5895104971099456,0.9457339039869112,-0.5946431380708399,0.11171949539085302,0.3714165735247702,0.6397965941702809,1.8648506190795096
